Employee #,Last Name,First Name,Status,Position,Immediate Supervisor,Date From,Date To,Time-in,Time-out,Hours Worked,Duration,Attendance Type,Attendance Status
10017,Santos,Vella,Probationary,Account Rank and File,Mata Christian,9-Jan-2022,9-Jan-2022,8:00,17:00,8,1,Work,Closed-On Time
10018,Del Rosario,Tomas,Probationary,Account Rank and File,Mata Christian,9-Jan-2022,9-Jan-2022,8:00,17:00,8,1,Work,Closed-On Time
10019,Tolentino,Jacklyn,Probationary,Account Rank and File,De Leon Selena,9-Jan-2022,9-Jan-2022,8:00,17:00,8,1,Work,Closed-On Time
10020,Gutierrez,Percival,Probationary,Account Rank and File,De Leon Selena,9-Jan-2022,9-Jan-2022,8:00,17:00,8,1,Work,Closed-On Time
10021,Manalaysay,Garfield,Probationary,Account Rank and File,De Leon Selena,9-Jan-2022,9-Jan-2022,8:11,17:00,7.82,1,Work,Closed-Late
10022,Villegas,Lizeth,Probationary,Account Rank and File,De Leon Selena,9-Jan-2022,9-Jan-2022,8:00,17:00,8,1,Work,Closed-On Time
10023,Ramos,Carol,Probationary,Account Rank and File,De Leon Selena,9-Jan-2022,9-Jan-2022,8:00,17:00,8,1,Work,Closed-On Time
10024,Maceda,Emelia,Probationary,Account Rank and File,De Leon Selena,9-Jan-2022,9-Jan-2022,8:21,17:00,7.65,1,Work,Closed-Late
10025,Aguilar,Delia,Probationary,Account Rank and File,De Leon Selena,9-Jan-2022,9-Jan-2022,8:00,17:00,8,1,Work,Closed-On Time
10001,Crisostomo,Jose,#N/A,#N/A,#N/A,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10002,Mata,Christian,#N/A,#N/A,#N/A,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10003,San Jose,Brad,Regular,HR Team Leader,Villanueva Andrea Mae,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10004,Salcedo,Anthony,Regular,Payroll Manager,Alvaro Roderick,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10005,Romualdez,Alice,Regular,HR Rank and File,San Jose Brad,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10006,Atienza,Rosie,Regular,HR Rank and File,San Jose Brad,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10007,Farala,Martha,Regular,Payroll Rank and File,Salcedo Anthony,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10008,Martinez,Leila,Regular,Payroll Rank and File,Salcedo Anthony,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10009,San Jose,Allison,Regular,Account Rank and File,Mata Christian,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10010,Rosario,Cydney,Regular,Account Rank and File,Mata Christian,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10011,Lopez TEST,Josie,Regular,Payroll Team Leader,Salcedo Anthony,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10012,De Leon,Selena,Regular,Account Team Leader,Romualdez Fredrick,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10013,Romualdez,Fredrick,Regular,Account Manager,Lim Antonio,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10014,Bautista,Mark,Regular,Account Rank and File,Mata Christian,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10015,Lazaro,Darlene,Probationary,Account Rank and File,Mata Christian,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10016,Delos Santos,Kolby,Probationary,Account Rank and File,Mata Christian,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10017,Santos,Vella,Probationary,Account Rank and File,Mata Christian,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10018,Del Rosario,Tomas,Probationary,Account Rank and File,Mata Christian,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10019,Tolentino,Jacklyn,Probationary,Account Rank and File,De Leon Selena,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10020,Gutierrez,Percival,Probationary,Account Rank and File,De Leon Selena,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10021,Manalaysay,Garfield,Probationary,Account Rank and File,De Leon Selena,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10022,Villegas,Lizeth,Probationary,Account Rank and File,De Leon Selena,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10023,Ramos,Carol,Probationary,Account Rank and File,De Leon Selena,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10024,Maceda,Emelia,Probationary,Account Rank and File,De Leon Selena,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10025,Aguilar,Delia,Probationary,Account Rank and File,De Leon Selena,9-Feb-2022,9-Feb-2022,8:00,17:00,8,1,Work,Closed-On Time
10001,Crisostomo,Jose,#N/A,#N/A,#N/A,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10002,Mata,Christian,#N/A,#N/A,#N/A,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10003,San Jose,Brad,Regular,HR Team Leader,Villanueva Andrea Mae,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10004,Salcedo,Anthony,Regular,Payroll Manager,Alvaro Roderick,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10005,Romualdez,Alice,Regular,HR Rank and File,San Jose Brad,9-May-2022,9-May-2022,8:15,17:00,7.75,1,Work,Closed-Late
10006,Atienza,Rosie,Regular,HR Rank and File,San Jose Brad,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10007,Farala,Martha,Regular,Payroll Rank and File,Salcedo Anthony,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10008,Martinez,Leila,Regular,Payroll Rank and File,Salcedo Anthony,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10009,San Jose,Allison,Regular,Account Rank and File,Mata Christian,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10010,Rosario,Cydney,Regular,Account Rank and File,Mata Christian,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10011,Lopez TEST,Josie,Regular,Payroll Team Leader,Salcedo Anthony,9-May-2022,9-May-2022,10:30,17:00,5.5,1,Work,Closed-Late
10012,De Leon,Selena,Regular,Account Team Leader,Romualdez Fredrick,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10013,Romualdez,Fredrick,Regular,Account Manager,Lim Antonio,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10014,Bautista,Mark,Regular,Account Rank and File,Mata Christian,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10015,Lazaro,Darlene,Probationary,Account Rank and File,Mata Christian,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10016,Delos Santos,Kolby,Probationary,Account Rank and File,Mata Christian,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10017,Santos,Vella,Probationary,Account Rank and File,Mata Christian,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10018,Del Rosario,Tomas,Probationary,Account Rank and File,Mata Christian,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10019,Tolentino,Jacklyn,Probationary,Account Rank and File,De Leon Selena,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10020,Gutierrez,Percival,Probationary,Account Rank and File,De Leon Selena,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10021,Manalaysay,Garfield,Probationary,Account Rank and File,De Leon Selena,9-May-2022,9-May-2022,13:00,17:00,3,1,Work,Closed-Late
10022,Villegas,Lizeth,Probationary,Account Rank and File,De Leon Selena,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10023,Ramos,Carol,Probationary,Account Rank and File,De Leon Selena,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10024,Maceda,Emelia,Probationary,Account Rank and File,De Leon Selena,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10025,Aguilar,Delia,Probationary,Account Rank and File,De Leon Selena,9-May-2022,9-May-2022,8:00,17:00,8,1,Work,Closed-On Time
10001,Crisostomo,Jose,#N/A,#N/A,#N/A,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10002,Mata,Christian,#N/A,#N/A,#N/A,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10003,San Jose,Brad,Regular,HR Team Leader,Villanueva Andrea Mae,9-Jun-2022,9-Jun-2022,11:30,17:00,4.5,1,Work,Closed-Late
10004,Salcedo,Anthony,Regular,Payroll Manager,Alvaro Roderick,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10005,Romualdez,Alice,Regular,HR Rank and File,San Jose Brad,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10006,Atienza,Rosie,Regular,HR Rank and File,San Jose Brad,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10007,Farala,Martha,Regular,Payroll Rank and File,Salcedo Anthony,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10008,Martinez,Leila,Regular,Payroll Rank and File,Salcedo Anthony,9-Jun-2022,9-Jun-2022,8:10,17:00,7.83,1,Work,Closed-On Time
10009,San Jose,Allison,Regular,Account Rank and File,Mata Christian,9-Jun-2022,9-Jun-2022,0:00,0:00,0,1,Work,Closed
10010,Rosario,Cydney,Regular,Account Rank and File,Mata Christian,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10011,Lopez TEST,Josie,Regular,Payroll Team Leader,Salcedo Anthony,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10012,De Leon,Selena,Regular,Account Team Leader,Romualdez Fredrick,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10013,Romualdez,Fredrick,Regular,Account Manager,Lim Antonio,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10014,Bautista,Mark,Regular,Account Rank and File,Mata Christian,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10015,Lazaro,Darlene,Probationary,Account Rank and File,Mata Christian,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10016,Delos Santos,Kolby,Probationary,Account Rank and File,Mata Christian,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10017,Santos,Vella,Probationary,Account Rank and File,Mata Christian,9-Jun-2022,9-Jun-2022,8:05,17:00,7.92,1,Work,Closed-On Time
10018,Del Rosario,Tomas,Probationary,Account Rank and File,Mata Christian,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10019,Tolentino,Jacklyn,Probationary,Account Rank and File,De Leon Selena,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10020,Gutierrez,Percival,Probationary,Account Rank and File,De Leon Selena,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10021,Manalaysay,Garfield,Probationary,Account Rank and File,De Leon Selena,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10022,Villegas,Lizeth,Probationary,Account Rank and File,De Leon Selena,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10023,Ramos,Carol,Probationary,Account Rank and File,De Leon Selena,9-Jun-2022,9-Jun-2022,9:00,17:00,7,1,Work,Closed-Late
10024,Maceda,Emelia,Probationary,Account Rank and File,De Leon Selena,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10025,Aguilar,Delia,Probationary,Account Rank and File,De Leon Selena,9-Jun-2022,9-Jun-2022,8:00,17:00,8,1,Work,Closed-On Time
10001,Crisostomo,Jose,#N/A,#N/A,#N/A,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10002,Mata,Christian,#N/A,#N/A,#N/A,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10003,San Jose,Brad,Regular,HR Team Leader,Villanueva Andrea Mae,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10004,Salcedo,Anthony,Regular,Payroll Manager,Alvaro Roderick,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10005,Romualdez,Alice,Regular,HR Rank and File,San Jose Brad,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10006,Atienza,Rosie,Regular,HR Rank and File,San Jose Brad,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10007,Farala,Martha,Regular,Payroll Rank and File,Salcedo Anthony,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10008,Martinez,Leila,Regular,Payroll Rank and File,Salcedo Anthony,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10009,San Jose,Allison,Regular,Account Rank and File,Mata Christian,9-Jul-2022,9-Jul-2022,0:00,0:00,0,1,Work,Closed
10010,Rosario,Cydney,Regular,Account Rank and File,Mata Christian,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10011,Lopez TEST,Josie,Regular,Payroll Team Leader,Salcedo Anthony,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10012,De Leon,Selena,Regular,Account Team Leader,Romualdez Fredrick,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10013,Romualdez,Fredrick,Regular,Account Manager,Lim Antonio,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10014,Bautista,Mark,Regular,Account Rank and File,Mata Christian,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10015,Lazaro,Darlene,Probationary,Account Rank and File,Mata Christian,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10016,Delos Santos,Kolby,Probationary,Account Rank and File,Mata Christian,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10017,Santos,Vella,Probationary,Account Rank and File,Mata Christian,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10018,Del Rosario,Tomas,Probationary,Account Rank and File,Mata Christian,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10019,Tolentino,Jacklyn,Probationary,Account Rank and File,De Leon Selena,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10020,Gutierrez,Percival,Probationary,Account Rank and File,De Leon Selena,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10021,Manalaysay,Garfield,Probationary,Account Rank and File,De Leon Selena,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10022,Villegas,Lizeth,Probationary,Account Rank and File,De Leon Selena,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10023,Ramos,Carol,Probationary,Account Rank and File,De Leon Selena,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10024,Maceda,Emelia,Probationary,Account Rank and File,De Leon Selena,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10025,Aguilar,Delia,Probationary,Account Rank and File,De Leon Selena,9-Jul-2022,9-Jul-2022,8:00,17:00,8,1,Work,Closed-On Time
10001,Crisostomo,Jose,#N/A,#N/A,#N/A,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10002,Mata,Christian,#N/A,#N/A,#N/A,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10003,San Jose,Brad,Regular,HR Team Leader,Villanueva Andrea Mae,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10004,Salcedo,Anthony,Regular,Payroll Manager,Alvaro Roderick,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10005,Romualdez,Alice,Regular,HR Rank and File,San Jose Brad,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10006,Atienza,Rosie,Regular,HR Rank and File,San Jose Brad,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10007,Farala,Martha,Regular,Payroll Rank and File,Salcedo Anthony,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10008,Martinez,Leila,Regular,Payroll Rank and File,Salcedo Anthony,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10009,San Jose,Allison,Regular,Account Rank and File,Mata Christian,9-Aug-2022,9-Aug-2022,0:00,0:00,0,1,Work,Closed
10010,Rosario,Cydney,Regular,Account Rank and File,Mata Christian,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10011,Lopez TEST,Josie,Regular,Payroll Team Leader,Salcedo Anthony,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10012,De Leon,Selena,Regular,Account Team Leader,Romualdez Fredrick,9-Aug-2022,9-Aug-2022,8:00,17:00,8,1,Work,Closed-On Time
10013,Romualdez,Fredrick,Regular,Account Manager,Lim Antonio,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10014,Bautista,Mark,Regular,Account Rank and File,Mata Christian,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10015,Lazaro,Darlene,Probationary,Account Rank and File,Mata Christian,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10016,Delos Santos,Kolby,Probationary,Account Rank and File,Mata Christian,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10017,Santos,Vella,Probationary,Account Rank and File,Mata Christian,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10018,Del Rosario,Tomas,Probationary,Account Rank and File,Mata Christian,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10019,Tolentino,Jacklyn,Probationary,Account Rank and File,De Leon Selena,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10020,Gutierrez,Percival,Probationary,Account Rank and File,De Leon Selena,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10021,Manalaysay,Garfield,Probationary,Account Rank and File,De Leon Selena,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10022,Villegas,Lizeth,Probationary,Account Rank and File,De Leon Selena,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10023,Ramos,Carol,Probationary,Account Rank and File,De Leon Selena,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10024,Maceda,Emelia,Probationary,Account Rank and File,De Leon Selena,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10025,Aguilar,Delia,Probationary,Account Rank and File,De Leon Selena,9-Aug-2022,9-Aug-2022,10:00,17:00,6,1,Work,Closed-Late
10001,Crisostomo,Jose,#N/A,#N/A,#N/A,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10002,Mata,Christian,#N/A,#N/A,#N/A,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10003,San Jose,Brad,Regular,HR Team Leader,Villanueva Andrea Mae,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10004,Salcedo,Anthony,Regular,Payroll Manager,Alvaro Roderick,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10005,Romualdez,Alice,Regular,HR Rank and File,San Jose Brad,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10006,Atienza,Rosie,Regular,HR Rank and File,San Jose Brad,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10007,Farala,Martha,Regular,Payroll Rank and File,Salcedo Anthony,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10008,Martinez,Leila,Regular,Payroll Rank and File,Salcedo Anthony,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10009,San Jose,Allison,Regular,Account Rank and File,Mata Christian,9-Sep-2022,9-Sep-2022,0:00,0:00,0,1,Work,Closed
10010,Rosario,Cydney,Regular,Account Rank and File,Mata Christian,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10011,Lopez TEST,Josie,Regular,Payroll Team Leader,Salcedo Anthony,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10012,De Leon,Selena,Regular,Account Team Leader,Romualdez Fredrick,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10013,Romualdez,Fredrick,Regular,Account Manager,Lim Antonio,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10014,Bautista,Mark,Regular,Account Rank and File,Mata Christian,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10015,Lazaro,Darlene,Probationary,Account Rank and File,Mata Christian,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10016,Delos Santos,Kolby,Probationary,Account Rank and File,Mata Christian,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10017,Santos,Vella,Probationary,Account Rank and File,Mata Christian,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10018,Del Rosario,Tomas,Probationary,Account Rank and File,Mata Christian,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10019,Tolentino,Jacklyn,Probationary,Account Rank and File,De Leon Selena,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10020,Gutierrez,Percival,Probationary,Account Rank and File,De Leon Selena,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10021,Manalaysay,Garfield,Probationary,Account Rank and File,De Leon Selena,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10022,Villegas,Lizeth,Probationary,Account Rank and File,De Leon Selena,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10023,Ramos,Carol,Probationary,Account Rank and File,De Leon Selena,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10024,Maceda,Emelia,Probationary,Account Rank and File,De Leon Selena,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10025,Aguilar,Delia,Probationary,Account Rank and File,De Leon Selena,9-Sep-2022,9-Sep-2022,8:00,17:00,8,1,Work,Closed-On Time
10001,Crisostomo,Jose,#N/A,#N/A,#N/A,9-Dec-2022,9-Dec-2022,8:00,17:00,8,1,Work,Closed-On Time
10002,Mata,Christian,#N/A,#N/A,#N/A,9-Dec-2022,9-Dec-2022,8:00,17:00,8,1,Work,Closed-On Time
10003,San Jose,Brad,Regular,HR Team Leader,Villanueva Andrea Mae,9-Dec-2022,9-Dec-2022,8:00,17:00,8,1,Work,Closed-On Time
10004,Salcedo,Anthony,Regular,Payroll Manager,Alvaro Roderick,9-Dec-2022,9-Dec-2022,8:00,17:00,8,1,Work,Closed-On Time
10005,Romualdez,Alice,Regular,HR Rank and File,San Jose Brad,9-Dec-2022,9-Dec-2022,8:00,17:00,8,1,Work,Closed-On Time
10006,Atienza,Rosie,Regular,HR Rank and File,San Jose Brad,9-Dec-2022,9-Dec-2022,8:00,17:00,8,1,Work,Closed-On Time
10007,Farala,Martha,Regular,Payroll Rank and File,Salcedo Anthony,9-Dec-2022,9-Dec-2022,8:27,17:00,7.55,1,Work,Closed-Late
10008,Martinez,Leila,Regular,Payroll Rank and File,Salcedo Anthony,9-Dec-2022,9-Dec-2022,8:01,17:00,7.98,1,Work,Closed-On Time
10009,San Jose,Allison,Regular,Account Rank and File,Mata Christian,9-Dec-2022,9-Dec-2022,0:00,0:00,0,1,Work,Closed
10010,Rosario,Cydney,Regular,Account Rank and File,Mata Christian,9-Dec-2022,9-Dec-2022,8:00,17:00,8,1,Work,Closed-On Time
10011,Lopez TEST,Josie,Regular,Payroll Team Leader,Salcedo Anthony,9-Dec-2022,9-Dec-2022,8:00,17:00,8,1,Work,Closed-On Time
